Input,Result
"If Russia succeeded in dissolving Ukraine would there be insurgency with enough support like the Taliban? Would Russian troops be trapped in cities? How long would it take Russia to turn Ukraine into a fully submissive Russian territory? TAP ON THE PIC TO VIEW. I rarely quote Vladimir Putin’s moronic jokes, but here it would be quite appropriate: “If a grandmother had balls, she’d be a grandfather.” Putin isn’t getting Ukraine, period. Insurgency is what Russia is facing within its territorial borders — and I’m not talking about Russia’s imaginary borders, but these recognized by the UN. In autocratic regimes, the all-powerful unchangeable leader and his clique lose the sense of reality. It leads them to an incorrect assessment of circumstances and, as a result, to their collapse. Putin is not the first and he won’t be the last. They lose any feedback with the society and break their necks.",yes
"What impact could imprisoned ultranationalist Igor Girkin's political maneuvers have on Russian President Vladimir Putin? Yesterday, the appeal court upheld the verdict of the Moscow City Court against the 53-year-old former commander of pro-Russian separatists in Donetsk Igor Girkin. Girkin (Strelkov), who is a former FSB officer, was arrested a month after the infamous Prigozhin’s coup of June 2023, and charged with “extremism”. While we know there is basically no such thing as “a former FSB officer” (you are always either an asset of the force — or a traitor, sentenced to elimination), for a long time, Girkin’s rants about the sorry state of affairs in the Russian army fighting in Ukraine didn’t cause him any trouble. So much so that most people decided that Girkin-Strelkov had powerful backers among the FSB ranks who were playing their own game. But after Prigozhin’s aborted coup, the rules of the game obviously changed. As soon as Prigozhin and his goons had been removed from the scene and their influence nullified, Girkin (who was actually a fierce opponent of Prigozhin) was arrested and thrown in Lefortovo prison — the same FSB pre-trial jail where recently arrested generals of the ministry of defence are now locked up. In January 2024, Girkin was found guilty and sentenced to 4 years in prison. Girkin’s family members were not allowed into the court during yesterday’s hearing, his wife Miroslava Reginskaya wrote on Telegram. In the near future, Girkin will be transferred to the penal colony. It was previously reported that the ex-separatist leader expressed a desire to join the Russian armed forces and go to the war in Ukraine — the war, which he personally unleashed in 2014. Under the Russian law, those convicted of extremism are not eligible for “conditional release” granted to those who sign the contract with the ministry of defence, to go to the war. Thus, Girkin can only sign an army contract if Vladimir Putin pardons him. Which will never happen — free and unhinged Girkin is a real threat to Putin’s regime, especially with a weapon in his hands. Plus he knows too much and would be a perfect witness for Putin’s Hague trial. And his worst offense, he insulted Putin personally — which makes Girkin a “traitor”, an unforgivable sin in the eyes of vengeful Putin. When his time of release gets near, Girkin will either “suddenly die” or get a new jail term — this time a much longer one. Girkin posted enough to be sentenced for “treason”, “discrediting the army” — or dozens of other offenses, designed by Putin’s regime to lock up the people who cause trouble. Girkin is finished. Anyone who is still supporting him might find themselves in FSB “interview rooms” pretty soon.",yes
"What are some positive aspects of Russian culture and its people? Russian military correspondents are furious: residents of Kursk region are evacuating, instead of queuing to sign up as volunteers for the Russian army. (Video in the comments below.) “What the heck??” barks a Russian man dressed in a military uniform. “As males, you should be defending your homes, you should be delivering food to our guys, or digging trenches — or if you can’t do it, just give your cars to our guys, so they can use them at the front. Why are you just driving away??” For 25 years, since Putin took helm in Russia, the state was training citizens to be passive: “They at the top know best what to do”, “we are just small people”, “we can’t change anything”. People have learned to don’t have any opinions of their own, because having an opinion can get you in trouble. They’ve learned to “stay out of politics”, learned to live by the motto, “my hut is at the edge of the village, I don’t know anything”. Putin’s administration chose to downplay “the situation in Kursk region” and Russian propagandists are now saying that “Ukraine made a foolish move” and “everything is under control, situation stabilized, no losses.” Kursk residents know it’s not true — they can look out of the window and see what happens, but because the state tells them “it’s all good”, they simply do what they feel is the right thing for them — run away. They don’t want to defend Putin’s regime, they don’t want to fight and possibly die defending their homeland. It’s weird, but there are no public protests in Russian towns taken over by the Ukrainian forces, as there were in spring 2022 when the Russian army invaded Ukrainian cities and thousands of Ukrainians went to town squares to protest against the Russian invaders — Ukrainian men, women, elders, kids were standing with bare hands against armed Russian soldiers, yelling at them, “Go home!!” “Occupiers, go home!” — protests in Kherson in March 2022. Similar mass protests were happening in many other Ukrainian towns captured by the Russian army. People in Kherson were standing with Ukrainian flags, with anti-Putin and anti-Russia posters, against armed Russians and military vehicles. Russians don’t protest. They seem to be indifferent to what is happening around them. They realized their officials lie to them — they knew it all along, but it was safer to pretend they believed them — and they have no idea what is real and what is not anymore, they just don’t trust anybody — but pretend to trust the guys who are in charge right now. If Ukrainians are in charge, they pretend to trust Ukrainians. If Russians are in charge, they pretend to trust Russians. Russian citizens have no opinions of their own — or if they do, they keep them buried so deep, they themselves are terrified to admit they have them. It’s not a “slave mentality” — it’s learned helplessness. They really think there is nothing they can do that will change anything. Obviously, this aspect of the modern Russian culture and collective psyche is highly beneficial to the advancing Ukrainian army, which doesn’t have to deal with hostile population. Rather, Ukrainians are dealing with passive, yet quietly curious population, compliant and eager to follow instructions. Russian State Duma member Vitaly Milonov called on men from the Kursk region to sign contracts with the Ministry of Defense and defend their homeland on their own — obviously, Putin isn’t going to send to Kursk reinforcements from the front in Ukraine, where he’s sending most troops and equipment. Milonov, too, believes that only women, children and the elderly should be evacuating from Kursk, but local men should take on the defense of border areas. “No one has to do anything for Russian residents of border regions,” announced Milonov — they themselves must show that they can defend their land. With such an attitude from the Russian state, no wonder that Ukrainians keep taking over several more settlements every day. Isn’t it weird that Russians are willing to go to Ukraine “to make Russia great again” (and be paid “big wages”) — but have no desire or interest to defend their own homes?",yes
"When was slavery abolished in Russia? On July 1, 1966, workers of Soviet “collective farms” for the first time were paid salaries in actual money. Before that, Soviet peasants were de-facto slaves: In 1861, Emperor Alexander II signed the manifesto “On the most merciful granting to serfs of the rights of free rural inhabitants”, ending serfdom in Russia. But after the Bolshevik’s coup in October 1917 and the bloody civil war, communists brought back de-facto serfdom: they confiscated the farm land and animals from Russian peasants and locked them in “collective farms”. It’s only 50 years ago that the last Russian serfs were given the same rights as city workers (who also weren’t free in the USSR). Don’t believe the lies that marxists tell you about communism and socialism (in fact, when the Soviet communists failed to build communism for several decades, they simply named it “socialism” and told the masses that communism will follow soon). There had been no country in the history of the mankind that attempted to build a Marxist state and didn’t produce a totalitarian tyranny. Not even one.",yes
"What is the United Nations doing about Russia? Right after the meeting of the UN Security Council, where the Russian missile attack on the ‘Okhmatdyt’ children's hospital in Kyiv was discussed, Russia hosted a lunch at the UN in honor of its presidency of the Security Council. The main dish on the menu was “Chicken Kyiv” cutlet. Yes, for real. Bizarrely, the “greatest country in the world” couldn’t find its own national dish to showcase for its esteemed guests. Frankly, I don’t even want to comment on it — there is just so much cynicism one can digest in a day. I’ll leave it to you.",yes
"Can you reverse Russian brainwashing? Top Russian propagandists are making millions — which they can only spend in Russia, because they all are sanctioned and their foreign assets are frozen. They forever bound themselves to Putin’s regime, and knowing the fate of Hitler’s propagandists, don’t have illusions about their future if Putin’s shady gamble in Ukraine fails. During the times of WWII, Goebbels’ propaganda machine was also pretty effective — even in America, some people were supporting Hitler’s ideas, while others insisted that America should mind its own business. 1941 protesters in America: “Why not peace with Hitler?” To counter Nazi propaganda, Walt Disney created a cartoon named “Der Fuehrer's face”, where Donald Duck is living a Nazi nightmare. It was designed to reverse the Nazi brainwashing. The cartoon was so successful, it won the Oscar for Best Animated Short Film at the 15th Academy Awards. In 1994, it was voted #22 of ""The 50 Greatest Cartoons"" of all time by members of the animation field. When the Nazi Germany was defeated in May 1945, the huge job of denazification of Germany began. Ending the Nazi propaganda was the start, debunking propaganda myths and revealing the truth were the next steps. The same job will be needed in Russia to reverse the brainwashing by Putin’s regime.",yes
"How does Putin think he will win against the rest of the world? This cover of “The Spectator” is dated October 2016. Putin has just increased 10 times the reach of Kremlin propaganda among western viewers, compared to the start of 2024 — and you can be sure they are not going to stop there. A network of pro-Kremlin bots, nicknamed Doppelgänger by western analysts, has sharply increased its reach among social media users in different countries, reported ‘The Insider’. This shocking fact was discovered by analysts of ‘AntibotNavalny’, who reviewed the reach of cleverly designed tweets, promoting Kremlin narratives. Analysts came to the conclusion that this level of coverage of the bot network was achieved thanks to texts generated by artificial intelligence. ‘Doppelgänger’ is a network of accounts disseminating Kremlin narratives aimed at Western audiences, including propaganda videos, caricatures of Western leaders, and links to “journalistic” articles from websites created by the Kremlin. Doppelgänger uses the same method as fraudulent websites that try to steal your money — only the Kremlin tries to steal your thoughts. So, Putin is massively escalating its hybrid war against the West. Russia is waging the war against the whole western civilization. For Putin, it’s the war for world domination. And every one of us is under attack.",yes
"Does Russophobia exist? Russophobia only exists in the vocabulary of Russian propagandists. In reality, people aren’t “irrationally terrified” of Russians or Russia — they have legitimate and absolutely rational fears of what actions a Russian person might undertake as an individual, while retaining ties with its motherland. Foreigners are also concerned about the constant threats against basically every country or state, leaders of which do not align themselves with Vladimir Putin and do not condone his war on Ukraine. The feeling towards Russians among most westerners isn’t of a “phobia”, but rather a contempt — people despise what Russian leaders are doing and what Russian people support and tolerate. The Russian propagandists should rather call it “Russocontempt” — this word describes the feeling more precisely.",yes
"Has Omsk oil refinery, Russia's largest oil refinery just caught fire and has blown up? Gazprom, local news. How much will this affect Russia's diesel, petrol, aviation and hydrofuels? How far is Umsk from Kiev? Is Palianytsia suspected? The explosion at the Omsk oil refinery yesterday was powerful — windows were blown out in nearby houses. According to Reuters, as a result of the explosion and subsequent fire at the Omsk oil refinery, the AVT-11 primary oil refining unit — most productive at the plant — was damaged and had to be shot down. That’s half of the plant's capacity. The fire area affected over 1,000 square meters. Omsk is about 3,000 km away from Ukraine and it’s unlikely the explosion was the result of a drone attack — although the new Ukrainian jet drone ‘Palianytsia’ can potentially fly that far, some experts believe. If Ukraine were able to hit this far (with a jet drone or another weapon), it would be a completely different reality that Russians would have to exist in.",yes
"Russia has a history of throwing its citizens under the military wheel. What happens when the butcher's bill is too much for ordinary Russians? What happens when they realise, that in 2024, they don't have to die for a lunatic with an ego problem? A Russian deserter who was tricked to sign up for the war told ‘The Insider’ how he was nearly killed by his own Russian troops at the front, next to a pit with 20–30 bodies. He was badly wounded when his commander sent him to pick some vodka, and nearly bled out with no assistance. It was after this experience that he decided to run off. Anton (not his real name) had no intention of joining the army whatsoever. But in the fall of 2023, he went out to a shop, and a police patrol stopped him to check his documents. Anton didn’t have his ID with him and the cops took him to the police station. They put his data into a computer and told him he had an outstanding mobilization summons and would be going to the front in 3 days. They threatened that he would have huge problems for trying to skip mobilization — but there could be a way around: he could go to the enlistment office and ask to sign the contract voluntarily. The cops told him that if he signed the contract (as opposed to being mobilized), he would be able to pick an “easy” job, like helping out in a hospital. Anton came home horrified. The idea of improving his odds to get an “easy” military job as opposed to being sent to the front as mobilized seemed reasonable. He decided that if he anyway would be mobilized, he’d better become a contractor. He signed the contract on Saturday, and on Tuesday he was already sent to a unit. And — surprise, surprise! — he was sent to an assault company. A week later he was already at the front line. That was a shock for Anton: “A week ago I was sitting at home, watching videos, working, leading a normal life, and now I'm at the trenches in Ukraine.” It didn’t take long at the front for commanders to start sending people to assaults. His unit’s goal was to take a position at the edge of a village. But to get there, the soldiers had to run over 500 meters of an open space. From the Ukrainian side, that open space was controlled by a machine gun that was able to take out up to 100 people at once. The only cover a group could take was a damaged tank stranded in the middle. The commander told the assault teams to take cover and dig an outpost near the tank, to create a position from which they would be able to move further forward. Anton says it was an idiotic plan: there was no difference whether you had to run 250 or 500 meters, after 30 seconds in an open area you would be a “toast”. The commander began sending groups of 5: on the first day, 4 groups were sent, all 20 ended up dead. No one could even reach that tank. The next day another 20 people got killed. Anton says, Ukrainians have 15–20 various drones — both killer drones and reconnaissance drones — in the air at any time, day or night. The drones see any movement immediately. “It felt like the Ukrainian Armed Forces had a 50-fold advantage in drones,” he says. Then the commanders decided to send only 2 people at once. One group managed to reach the tank and dug in, and the propagandists on TV immediately began reporting that “the village was taken.” But the Russian troops still haven’t even reached it. The commander, a former security guard from a supermarket, dreamed of seeing himself on Channel 1, to feel like a hero warrior. So, he kept sending one group after the other to the slaughter, demanding that they move forward towards the village. The group that dug in near the tank managed to survive, but they needed ammunition, food, water — so, more people were sent in to deliver supplies, and they kept being shot by the Ukrainian fire. Anton says that about 70 people died there in a week, near that tank. Anton says that the worst wasn’t even the gunfire — the worst was when you leave the dugout and are completely exposed, and you realize that at any second you can be killed. “I went out to the toilet, went back 30 seconds later, and at the place where I was, 2 mortars hit” he recalls. Sometimes the Ukrainian drone operators made errors and the drones fell down, then the commanders sent Russian soldiers into the minefields to pick them up. A task from which one is unlikely to return, because no one has maps of the minefields, the mines are just thrown in, where it falls, that’s where it falls. “You have a patch of land, 4 drones fly around it. They drop something, as soon as they fly away — the next 4 are already flying. And in the distance, there are probably 5 more, coordinating fire by mortars and artillery,” explains Anton. If a drone noticed you, you aren’t allowed to hide back in a dugout — because the operator sees a glowing dot, and suddenly it disappears: it means the person has gone somewhere. Then a precise hit arrives — and minimum 5 people in the dugout will be dead. Anton says that in 2 weeks, only 15–20 people were left from 250 soldiers that arrived, and from them 10 people were the commanders and non-combat clerks. Most of the soldiers were contractors, only a few were “mobilized”. From the losses, about 40% are dead, the rest are wounded. About 50% of the wounded are without legs or arms — disabled for life. “When I arrived, that village was still more or less intact. 3 weeks later it was just ruins. Heaps of corpses…” recalls Anton. He survived because he was part of the “evacuation team” — and he refused to go in the assaults, saying he would continue performing the task he was assigned to do. He was still going to the position near the tank, but his job was to pull the wounded, not carry provisions or stay in the dugout. Although Anton didn’t do any specific medical training, he had to perform an amputation in the field. This was like a horror movie. He pulled a guy who was lying wounded in the field for 3 days. The guy managed to apply tourniquets to wounds on his arm and leg, but after these 3 days his arm began to rot. The medics told him on the radio he had to amputate the arm. Anton injected the guy with all sedatives he could find and chopped the arm with an axe. It took him 4 attempts to get through the flesh and bones, then he had to treat the stump and bandage it. “I didn't sleep for two days after that,” Anton says. “When we were loading him [for evacuation], he was still alive, and he also made it to the first line alive. I don't know what happened to him after that.” Another guy that Anton pulled out had part of his jaw torn off, his arm up to the shoulder and half a leg. The commander was pissed off about it: ""I don't need this, now I have to do something for one more person."" A day later the injured guy was already begging to die, realizing he wouldn’t survive. At the end, he bled to death. The dead were rarely pulled out from the field. It was too much trouble to even attempt it. Once Anton had to hide from a drone and crawled into an old dugout, and realized he was crawling on top of liquified bodies in uniform. The bodies were there for already 3–4 months. There was one guy in the unit of about 18–19, he was a draftee (all Russian men have to serve a 1-year compulsory military service, but the draftees are not supposed to be sent to Ukraine to the war). That guy was also tricked into signing a contract — in the military enlistment office where he arrived as a draftee, they simply gave him some papers to sign, and he signed, not realizing what it was. “A week and a half later, he was already at the front line,” says Anton. The guy’s family sent a letter, complaining to the prosecutor's office that he was forced to sign the contract. The battalion commander was furious about it and gave the order to “sort him out.” The teenage soldier was sent into an attack and killed within a week. Anton says his commander was constantly drunk. One day the commander ordered him to pick another drone from the headquarters — Anton argued it was unnecessary to do it at night, as they had a spare drone they could use, and at night it’s really easy to see a person on thermal visors. But the commander insisted. Anton managed to get to the headquarters, where they gave him a drone and a package “for the commander”. Anton looked inside the bag, and there were bottles of vodka and cognac. The commander sent him to get the alcohol for him and he didn’t care it was deadly dangerous. On the way back, Anton heard a drone over him and immediately an explosive dropped on him. Anton was wounded and couldn’t walk, but he realized he still had both his arms and legs. He threw away the bag with vodka and crawled into the nearest basement, got on the radio, said that he was wounded and asked for evacuation. They responded it was too dangerous to try to get him. After 20 minutes, he realized that he was bleeding out. “I was shaking all over, tremors, I definitely lost a liter of blood,” says Anton. He decided to crawl, and managed to make it to the line where he could be picked up — out of the firing range. Anton says that ”almost everyone drinks” at the front line — or they are using cheap drugs (“salts”). The commanders also steal strong pain killers from the first aid kits given to soldiers and use those. If a soldier refuses to follow orders, he isn’t sent to a military court for prosecution but simply shot by the commander’s underlings — his arms and legs are taped to a tree, and he’s shot at a point blank range. Sometimes a person may be dressed in 2 bulletproof vests and then shot at with a machine gun, his ribs get broken and he slowly dies. Or he’s shot at through a helmet — such shots take off the whole skull. Anton says that 2 soldiers in his unit were liquidated like this, for not following orders — they refused to go in an attack, because all previous groups were killed. Anton himself nearly got shot — when in the field, he noticed a drone in the sky and went back, but took to the left and ended up in a neighboring unit. That unit was looking for a mobilized soldier on the run and took Anton for the deserter. He was tied to a tree and about to be shot, there was a hole nearby, where 20–30 bodies were already lying. He was saved by a radio message that the runaway soldier was found. Do the Russian soldiers realize that Russia’s war in Ukraine is evil? Do they blame Putin for that? Nobody among the Russian troops at the front says things like ""let's go overthrow Putin,” states Anton. “Of course, they say that he [Putin] has started some kind of screwup that no one needs.” ”Even the ‘patriots’ when they arrive, very soon start saying, ‘What are we even doing here, why the heck do we need this?’” “There are some ‘ultra patriots’, but they do not survive for long, because they are the first to run ahead and the first to get killed.” “There was this guy, 54 years old, his wife had cancer. He came not even for the money, but because he needed the benefits for a serviceman's family, so his wife could get the cancer treatment. He was saying: ‘I know that people get killed here, I made my choice. If I get killed, at least my wife will get 5 million ruble, she will get the treatment, the children will live well."" That guy lived in a small regional town. His monthly salary was 35,000 ruble (about USD$400). He had 3 kids, his wife was sick. He saw it as his only option to help the wife and the kids. “You are not a human being there at all,” says Anton. He fears what is going to happen in Russia when all these people with the broken psyche come back. “When these people come back from the war with blood on their hands, with a broken psyche, who were in the same companies, detachments and so on, they will start to form groups, and these smaller groups will start to form bigger groups...” Anton says that plenty of weapons are transported back to Russia in bags with dead bodies — pulled into parts and hidden in these bags. An AK-47 costs about 40,000 ruble in Russia now ($460). Anton says that if the Russian soldiers are being utilized at the same rate as at his part of the front, Russia has suffered about 400,000 losses by now — killed and badly wounded. Anton says that no one signing an army contract should hope they’d come back with the money — because they won’t. At best, they can hope to come back home with the money in case of a serious wound — but then, “Do you want your mother to be wiping off your butt for the rest of your life?” “If you think there are some Nazis there... There are no Nazis, there are ordinary people. If you, so to say, go and kill your neighbor, would you be able to live with that for the rest of your life?” “This war is not worth it. This is not a war for the Fatherland, this is not a war for justice, not a war for freedom — this is a war for the complete bullshit. A war for the grandfather who is so crazy that he went and killed hundreds of thousands of people for nothing, just like that.” “You are not liberating anyone. He [the crazy grandfather] himself doesn't believe that he is liberating anyone, he doesn't give a f**k about all this — and even less about you.” What can the Russian men do to avoid being sent to the war? “Better run,” says Anton. ”No money? Take out loans and use that money to escape.” Anton himself deserted after getting wounded. Yesterday, Putin signed a decree raising the federal payout on signing the army contact to 400,000 rub. ($4,600) — it’s nearly twice as much as the state was paying before. Regions are also raising their payouts — St. Petersburg just raised it’s top-up to 1.8 million, and Moscow already lifted it to 1.9 million rub. ($22,000). Russia is running out of volunteers, so the prices for cannon fodder are rising. Putin is too scared to do another mobilization and force people to kill and die, because he knows how unpopular this war really is.",yes
